stimulus;hol_or_atom;n
ball_jump;holistisch;2
ball_jump;sequentiell;2
bike_big;holistisch;3
bike_big;sequentiell;3
bike_many;holistisch;3
bike_many;sequentiell;3
bike_one;holistisch;4
bike_one;sequentiell;4
bike_small;holistisch;4
bike_small;sequentiell;4
cat_chase_duck;holistisch;1
cat_chase_duck;sequentiell;1
cat_chase_rabbit;holistisch;1
cat_chase_rabbit;sequentiell;1
cat_jump;holistisch;2
cat_jump;sequentiell;2
cat_pet_duck;holistisch;1
cat_pet_duck;sequentiell;1
cat_pet_elephant;holistisch;1
cat_pet_elephant;sequentiell;1
cat_run;holistisch;1
cat_run;sequentiell;1
comb_big;holistisch;3
comb_big;sequentiell;3
comb_many;holistisch;3
comb_many;sequentiell;3
comb_one;holistisch;3
comb_one;sequentiell;3
comb_small;holistisch;4
comb_small;sequentiell;4
duck_big;holistisch;4
duck_big;sequentiell;4
duck_chase_cat;holistisch;1
duck_chase_cat;sequentiell;1
duck_jump;holistisch;2
duck_jump;sequentiell;2
duck_many;holistisch;4
duck_many;sequentiell;4
duck_one;holistisch;4
duck_one;sequentiell;4
duck_pet_cat;holistisch;1
duck_pet_cat;sequentiell;1
duck_pet_monkey;holistisch;1
duck_pet_monkey;sequentiell;1
duck_run;holistisch;1
duck_run;sequentiell;1
duck_small;holistisch;4
duck_small;sequentiell;4
elephant_chase_monkey;holistisch;1
elephant_chase_monkey;sequentiell;1
elephant_jump;holistisch;2
elephant_jump;sequentiell;2
elephant_pet_cat;holistisch;1
elephant_pet_cat;sequentiell;1
elephant_pet_monkey;holistisch;1
elephant_pet_monkey;sequentiell;1
elephant_run;holistisch;1
elephant_run;sequentiell;1
fork_big;holistisch;3
fork_big;sequentiell;3
fork_many;holistisch;3
fork_many;sequentiell;3
fork_one;holistisch;3
fork_one;sequentiell;3
fork_small;holistisch;4
fork_small;sequentiell;4
hammer_big;holistisch;4
hammer_big;sequentiell;4
hammer_many;holistisch;3
hammer_many;sequentiell;3
hammer_one;holistisch;3
hammer_one;sequentiell;3
hammer_small;holistisch;4
hammer_small;sequentiell;4
monkey_chase_elephant;holistisch;1
monkey_chase_elephant;sequentiell;1
monkey_jump;holistisch;2
monkey_jump;sequentiell;2
monkey_pet_duck;holistisch;1
monkey_pet_duck;sequentiell;1
monkey_pet_elephant;holistisch;1
monkey_pet_elephant;sequentiell;1
